panel	participant	line	also_matches	pm	label
run 69	P-1	immersion		9.0	Domain immersion, architecture and technology selection
run 69	P-1	delivery-control core		21.0	Cluster core: watchdogs, tokens, unordered status store, resume-on-failure, orchestration of ~16–20 nodes
run 69	P-1	cluster management		5.0	Cluster management tool (queue depths, node lifecycle)
run 69	P-1	render workers		11.0	Rendering workers: framework + 8–10 formats
run 69	P-1	OCR		5.0	OCR workers, PDF assembly, per-user TIFF-vs-PDF policy
run 69	P-1	NOC		9.0	NOC: state of 10–20 remote PoPs, cluster, queues
run 69	P-1	portal		10.0	User portal
run 69	P-1	Tx parser		6.0	Inbound email parser (Tx entry)
run 69	P-1	CDR		3.5	CDR / billing data capture
run 69	P-1	data layer / API	old-system / reused integration	7.0	Integration surface: DB + API, Lustre, coexistence with the old system
run 69	P-1	real-stream / load testing		12.0	Integration tests on the real stream vs v1, plus load/burst testing
run 69	P-1	rollout / cutover		6.0	Production rollout, cutover, stabilisation to the A2 Done
run 69	P-1	QA, separate line		19.4	QA uplift, 25% of the 77.5 dev-side only (lines 1, 11, 12 excluded — this is the round-1 double-count P-3 caught)
run 69	P-1	PM		12.4	PM / scrum master / cross-cutting coordination, 10% of the running total 123.9
run 69	P-1	discount / rounding		-1.3	Rounding down to the figure carried
run 69	P-2	immersion		8.0	Domain immersion, architecture and technology selection (DHT etc.), incl. discarded options
run 69	P-2	render workers		11.0	Rendering workers: worker framework + 8–10 formats via printer driver, each integrated and stabilized (A7)
run 69	P-2	OCR		5.0	OCR workers: third-party library integration, PDF assembly, quality tuning
run 69	P-2	delivery-control core		21.0	Cluster + delivery control (watchdogs, tokens, unordered store, per-fax resume) — build and harden
run 69	P-2	cluster management		3.5	Cluster management tool (queues, node state, operator control)
run 69	P-2	NOC		7.0	NOC: remote PoP state, cluster state, queue state
run 69	P-2	portal		9.0	User portal (configuration incl. TIFF-vs-PDF choice, archive, account)
run 69	P-2	Tx parser		4.5	Inbound-email parser on the Tx path (parsing, number extraction, attachments, rejects/bounces)
run 69	P-2	CDR		2.5	CDR and billing-data capture (billing itself excluded)
run 69	P-2	old-system / reused integration		6.0	Integration with the old system, coexistence for the transition
run 69	P-2	real-stream / load testing		9.0	Integration tests on the real stream with old-system comparison; load/burst testing
run 69	P-2	rollout / cutover		3.5	Rollout to production, migration, cutover
run 69	P-2	Rx path		5.0	Rx delivery path: PoP→data-centre transfer, per-user TIFF-page-by-page vs PDF branching, email composition, outbound deliverability at volume
run 69	P-2	data layer / API		4.0	Database schema and inter-component API (the §4 spine), split out from line 10
run 69	P-2	QA, separate line	PM	20.0	Dedicated QA function, ~22% of the 90 pm of non-QA component work (lines 1–10, 12–14; line 11 already counted as QA)
run 69	P-2	PM		12.0	PM, scrum lead and cross-cutting coordination, ~10%
run 69	P-2	discount / rounding		-6.0	Downward adjustment for the mechanical acceptance oracle (outputs must match v1 on the same input, which makes the comparison campaign cheaper to converge than a spec-negotiated acceptance of the same size), and rounding
run 69	P-3	immersion		10.0	Domain immersion + architecture/technology selection (~1.5 months, most of the team)
run 69	P-3	render workers	worker framework	10.0	Render workers: common harness 3; 8–10 formats at ~0.6–1.2 each
run 69	P-3	OCR		4.0	OCR workers on the third-party library (wrapping, throughput, error paths)
run 69	P-3	delivery-control core		20.0	Cluster core: watchdogs + tokens, unordered status store, fax orchestration, resumption, failure survival
run 69	P-3	cluster management		4.0	Cluster management tool (queues, node health, job distribution)
run 69	P-3	NOC		6.0	NOC — remote PoP / cluster / queue state, collectors + console
run 69	P-3	portal		9.0	User portal (archive, per-user TIFF-vs-PDF config, numbers, settings)
run 69	P-3	Tx parser		5.0	Inbound-email parser, Tx path (MIME, addressing, sender auth, bounces, abuse)
run 69	P-3	Rx path		3.0	Rx assembly and outbound email (page-by-page TIFF or PDF attachment, send)
run 69	P-3	CDR	data layer / API	3.0	CDR / billing data capture (schema, reliable write, reconciliation)
run 69	P-3	data layer / API	old-system / reused integration	6.0	Integration: PoP protocol, routing, Lustre, DB+API contracts, coexistence with v1
run 69	P-3	real-stream / load testing	worker framework	8.0	Integration tests on the real stream + comparison harness vs old system + load to nominal/burst
run 69	P-3	rollout / cutover		4.0	Rollout, dual-run, cutover readiness (A2 Done)
run 69	P-3	QA, separate line		22.0	Dedicated QA at 30% of the component base — base is subtotal 92 less the already-whole-team lines A (10) and L (8) = 74; 0.30 × 74 = 22.2
run 69	P-3	PM		14.0	PM / lead / coordination at 12% of (92 + 22 = 114) = 13.68
run 69	P-3	glue / omissions	discount / rounding	2.0	Carry for cross-component integration drag / rounding, 128 → 130 (the P-8 omission argument, booked as a carry rather than a separate component line)
run 69	P-4	immersion		10.0	Domain immersion, architecture and technology selection (A1/A3, ~1.5 calendar months of a forming team)
run 69	P-4	delivery-control core		20.0	Core orchestration: watchdogs, tokens, per-fax state, resume, backpressure
run 69	P-4	cluster management		6.0	Cluster management tool (queue depth, node control, job placement)
run 69	P-4	render workers		13.0	Render worker framework + 8–10 formats via print driver
run 69	P-4	OCR		5.0	OCR workers on a third-party library, throughput tuning
run 69	P-4	Rx path		8.0	Rx pipeline: PoP intake, per-user config, TIFF-per-page vs PDF, email composition and deliverability
